date,ticker,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PR013
2014-03-21,EWZ US Equity,33.9579,34.7827,33.9249,34.3703,26772411
2014-03-24,EWZ US Equity,34.56,34.9559,34.3291,34.7745,17290865
2014-03-25,EWZ US Equity,34.9394,35.3766,34.9229,35.2034,19095193
2014-03-26,EWZ US Equity,35.3024,35.5704,35.0384,35.0714,13271726
2014-03-27,EWZ US Equity,35.7478,36.8695,35.69,36.6963,39653483
2014-03-28,EWZ US Equity,36.8695,37.4551,36.8035,37.0097,20374217
2014-03-31,EWZ US Equity,37.0757,37.4057,37.0592,37.1458,17297645
2014-04-01,EWZ US Equity,37.3397,37.5211,36.9273,37.2407,13675009
2014-04-02,EWZ US Equity,37.1582,38.1397,37.1293,38.1397,18649450
2014-04-03,EWZ US Equity,38.0243,38.0243,37.3661,37.6778,18728978
2014-04-04,EWZ US Equity,38.7254,39.0306,37.983,38.0655,35525288
2014-04-07,EWZ US Equity,38.3542,39.2533,38.3047,39.0883,29759825
2014-04-08,EWZ US Equity,39.9956,40.2265,38.7584,39.0058,35523707
2014-04-09,EWZ US Equity,38.5439,39.3027,38.181,38.8903,24344274
2014-04-10,EWZ US Equity,38.9398,39.1378,38.6511,38.7006,20018628
2014-04-11,EWZ US Equity,38.3954,39.2285,38.3212,39.0883,18202032
2014-04-14,EWZ US Equity,39.2533,39.344,38.7996,38.9728,17102199
2014-04-15,EWZ US Equity,38.7666,38.7831,37.3727,37.8923,37215961
2014-04-16,EWZ US Equity,38.2882,38.5027,37.9335,38.4449,18620041
2014-04-17,EWZ US Equity,38.2635,39.2615,38.0408,39.179,20214517
2014-04-18,EWZ US Equity,,,,,
2014-04-21,EWZ US Equity,39.2697,39.4182,38.6925,39.0058,8709189
2014-04-22,EWZ US Equity,38.8243,39.2368,38.6346,38.8903,14663396
2014-04-23,EWZ US Equity,38.8078,38.9027,38.4532,38.8326,13121677
2014-04-24,EWZ US Equity,39.0965,39.2697,38.5109,39.1543,13048280
2014-04-25,EWZ US Equity,38.7089,38.7485,38.1892,38.5274,15731447
2014-04-28,EWZ US Equity,38.28,38.878,38.049,38.7501,15712849
2014-04-29,EWZ US Equity,39.2367,39.7646,38.8821,38.9728,18724318
2014-04-30,EWZ US Equity,38.7171,38.9151,38.4367,38.7996,11148800
2014-05-01,EWZ US Equity,38.6016,38.7996,38.2717,38.6511,8463109
2014-05-02,EWZ US Equity,38.8903,39.9873,38.7584,39.9873,28782529
2014-05-05,EWZ US Equity,39.7399,40.0038,39.3275,39.6904,12209428
2014-05-06,EWZ US Equity,39.6492,40.3833,39.5832,40.1606,16347635
2014-05-07,EWZ US Equity,40.1111,40.6334,39.9131,40.573,18307304
2014-05-08,EWZ US Equity,40.7379,40.8617,40.1523,40.21,13859726
2014-05-09,EWZ US Equity,40.0286,40.2678,39.8389,40.0368,12373529
